
Message 02/04/2018 17:59:20	Seamas Logged in succesfully
Message 02/04/2018 18:02:59	Seamas Logged in succesfully
Message 02/04/2018 18:03:08	Student with ID 12847965 has been deleted
Message 02/04/2018 18:03:18	Student with ID 12346423 has been deleted
Message 02/04/2018 18:03:26	Student with ID 12847596 has been deleted
Message 02/04/2018 18:03:51	Insert into Database with following criteria: Firstname: 84, Surname: 84, Email: 84, Phone: 84, Address line 1: 84,Address line 2: 84, City: 84, County: Antrim, Graduate Level: UnderGraduate, Course Business, Student Number: 84849763
Message 02/04/2018 18:05:11	Student with ID 45645682 has been deleted
Message 02/04/2018 18:12:14	Seamas Logged in succesfully
Message 02/04/2018 18:12:25	Student with ID 48956213 has been deleted
Message 02/04/2018 18:12:44	The Student with Previous Student ID of 45678912 has now been updated with the following detailsEmail: Mary@DBS.com, Phone: 0872323, Address line 1: 2323,Address line 2: Rathmines, City: Dublin 10, County: Dublin, Graduate Level: PostGraduate,Student Number: 45678912
Message 02/04/2018 18:14:40	Seamas Logged in succesfully
Message 02/04/2018 18:15:06	Insert into Database with following criteria: Firstname: 84, Surname: 84, Email: 84, Phone: 84, Address line 1: 54,Address line 2: 54, City: 54, County: Clare, Graduate Level: UnderGraduate, Course Business, Student Number: 45781236
Message 02/04/2018 18:15:35	The Student with Previous Student ID of 45678912 has now been updated with the following details Email: Mary@DBS.com, Phone: 0872323, Address line 1: 2323, Address line 2: Rathmines, City: Dublin 10, County: Dublin, Graduate Level: PostGraduate, Student Number: 45678912
Message 02/04/2018 18:16:22	Student with ID 45781236 has been deleted
Message 02/04/2018 18:25:30	Seamas Logged in succesfully
